File Name,Category Name,Category Number,Stimuli Index
./Stimuli/localizer_2/pl_random/crawlff_r.mov,Random,1,1
./Stimuli/localizer_2/pl_random/crawlm_r.mov,Random,1,2
./Stimuli/localizer_2/pl_random/crouchf_r.mov,Random,1,3
./Stimuli/localizer_2/pl_random/crouchff_r.mov,Random,1,4
./Stimuli/localizer_2/pl_random/crouchm_r.mov,Random,1,5
./Stimuli/localizer_2/pl_random/crouchmf_r.mov,Random,1,6
./Stimuli/localizer_2/pl_random/fallf_r.mov,Random,1,7
./Stimuli/localizer_2/pl_random/fallm_r.mov,Random,1,8
./Stimuli/localizer_2/pl_random/fallmf_r.mov,Random,1,9
./Stimuli/localizer_2/pl_random/jumpff_r.mov,Random,1,10
./Stimuli/localizer_2/pl_random/jumpm_r.mov,Random,1,11
./Stimuli/localizer_2/pl_random/jumpmf_r.mov,Random,1,12
./Stimuli/localizer_2/pl_random/runff_r.mov,Random,1,13
./Stimuli/localizer_2/pl_random/runm_r.mov,Random,1,14
./Stimuli/localizer_2/pl_random/runmf_r.mov,Random,1,15
./Stimuli/localizer_2/pl_random/sitf_r.mov,Random,1,16
./Stimuli/localizer_2/pl_random/sitff_r.mov,Random,1,17
./Stimuli/localizer_2/pl_random/sitm_r.mov,Random,1,18
./Stimuli/localizer_2/pl_random/sitmf_r.mov,Random,1,19
./Stimuli/localizer_2/pl_random/standf_r.mov,Random,1,20
./Stimuli/localizer_2/pl_random/standff_r.mov,Random,1,21
./Stimuli/localizer_2/pl_random/standm_r.mov,Random,1,22
./Stimuli/localizer_2/pl_random/standmf_r.mov,Random,1,23
./Stimuli/localizer_2/pl_random/turnf_r.mov,Random,1,24
./Stimuli/localizer_2/pl_random/turnff_r.mov,Random,1,25
./Stimuli/localizer_2/pl_random/turnm_r.mov,Random,1,26
./Stimuli/localizer_2/pl_random/turnmf_r.mov,Random,1,27
./Stimuli/localizer_2/pl_videos/crawlff.mov,Bio,2,28
./Stimuli/localizer_2/pl_videos/crawlm.mov,Bio,2,29
./Stimuli/localizer_2/pl_videos/crouchf.mov,Bio,2,30
./Stimuli/localizer_2/pl_videos/crouchff.mov,Bio,2,31
./Stimuli/localizer_2/pl_videos/crouchm.mov,Bio,2,32
./Stimuli/localizer_2/pl_videos/crouchmf.mov,Bio,2,33
./Stimuli/localizer_2/pl_videos/fallf.mov,Bio,2,34
./Stimuli/localizer_2/pl_videos/fallm.mov,Bio,2,35
./Stimuli/localizer_2/pl_videos/fallmf.mov,Bio,2,36
./Stimuli/localizer_2/pl_videos/jumpff.mov,Bio,2,37
./Stimuli/localizer_2/pl_videos/jumpm.mov,Bio,2,38
./Stimuli/localizer_2/pl_videos/jumpmf.mov,Bio,2,39
./Stimuli/localizer_2/pl_videos/runff.mov,Bio,2,40
./Stimuli/localizer_2/pl_videos/runm.mov,Bio,2,41
./Stimuli/localizer_2/pl_videos/runmf.mov,Bio,2,42
./Stimuli/localizer_2/pl_videos/sitf.mov,Bio,2,43
./Stimuli/localizer_2/pl_videos/sitff.mov,Bio,2,44
./Stimuli/localizer_2/pl_videos/sitm.mov,Bio,2,45
./Stimuli/localizer_2/pl_videos/sitmf.mov,Bio,2,46
./Stimuli/localizer_2/pl_videos/standf.mov,Bio,2,47
./Stimuli/localizer_2/pl_videos/standff.mov,Bio,2,48
./Stimuli/localizer_2/pl_videos/standm.mov,Bio,2,49
./Stimuli/localizer_2/pl_videos/standmf.mov,Bio,2,50
./Stimuli/localizer_2/pl_videos/turnf.mov,Bio,2,51
./Stimuli/localizer_2/pl_videos/turnff.mov,Bio,2,52
./Stimuli/localizer_2/pl_videos/turnm.mov,Bio,2,53
./Stimuli/localizer_2/pl_videos/turnmf.mov,Bio,2,54
./Stimuli/localizer_2/pl_images/crawlf_f.png,Image,3,55
./Stimuli/localizer_2/pl_images/crawlm.png,Image,3,56
./Stimuli/localizer_2/pl_images/crouchf.png,Image,3,57
./Stimuli/localizer_2/pl_images/crouchf_f.png,Image,3,58
./Stimuli/localizer_2/pl_images/crouchm.png,Image,3,59
./Stimuli/localizer_2/pl_images/crouchm_f.png,Image,3,60
./Stimuli/localizer_2/pl_images/fallf.png,Image,3,61
./Stimuli/localizer_2/pl_images/fallm.png,Image,3,62
./Stimuli/localizer_2/pl_images/fallm_f.png,Image,3,63
./Stimuli/localizer_2/pl_images/jumpf_f.png,Image,3,64
./Stimuli/localizer_2/pl_images/jumpm.png,Image,3,65
./Stimuli/localizer_2/pl_images/jumpm_f.png,Image,3,66
./Stimuli/localizer_2/pl_images/runf_f.png,Image,3,67
./Stimuli/localizer_2/pl_images/runm.png,Image,3,68
./Stimuli/localizer_2/pl_images/runm_f.png,Image,3,69
./Stimuli/localizer_2/pl_images/sitf.png,Image,3,70
./Stimuli/localizer_2/pl_images/sitf_f.png,Image,3,71
./Stimuli/localizer_2/pl_images/sitm.png,Image,3,72
./Stimuli/localizer_2/pl_images/sitm_f.png,Image,3,73
./Stimuli/localizer_2/pl_images/standf.png,Image,3,74
./Stimuli/localizer_2/pl_images/standf_f.png,Image,3,75
./Stimuli/localizer_2/pl_images/standm.png,Image,3,76
./Stimuli/localizer_2/pl_images/standm_f.png,Image,3,77
./Stimuli/localizer_2/pl_images/turnf.png,Image,3,78
./Stimuli/localizer_2/pl_images/turnf_f.png,Image,3,79
./Stimuli/localizer_2/pl_images/turnm.png,Image,3,80
./Stimuli/localizer_2/pl_images/turnm_f.png,Image,3,81
